seed,wind,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
1,1.5,straight,Line of Sight,20.008380465310402,21.0,7,2.2489355199431547,0.20214312053926342,40.19933554817276
1,1.5,straight,Vector Field,31.53993617936932,39.0,6,1.714295638801893,0.18900830760104187,23.25581395348837
1,1.5,straight,Nonlinear Stabilization,35.490615545311165,36.0,11,2.2119219571898068,0.1923692578637056,19.93355481727575
1,1.5,straight,Proposed AI,36.73730634946538,37.0,7,1.4125466607117598,0.18591410625817925,21.262458471760798
1,1.5,circle,Pure Pursuit,18.584487285441995,11.5,12,1.5737306991065285,0.20112454576856065,41.86046511627907
1,1.5,circle,Line of Sight,18.291527217264296,17.5,12,0.7226811497384826,0.19166849101709688,37.2093023255814
1,1.5,circle,Vector Field,23.844353835717246,13.0,6,1.3329165568733643,0.19432422059056031,31.22923588039867
1,1.5,circle,Nonlinear Stabilization,22.70479940131252,13.0,13,0.9117975006408905,0.1979709598704047,31.893687707641195
1,1.5,circle,Proposed AI,21.39743860548432,13.0,11,3.5210931149018494,0.18268169300645967,37.54152823920266
1,1.5,polyline,Pure Pursuit,20.35057317205047,8.0,7,4.098428614381706,0.19494544453579976,52.49169435215947
1,1.5,polyline,Line of Sight,22.504786763785084,23.0,3,0.43457176853933,0.17766940141379575,48.50498338870432
1,1.5,polyline,Vector Field,21.389722863137717,19.0,5,10.891673653806745,0.17774516194010614,40.863787375415285
1,1.5,polyline,Nonlinear Stabilization,20.65457696440271,21.0,4,13.288760104537328,0.17271424942483216,46.51162790697674
1,1.5,polyline,Proposed AI,23.129015399598632,24.0,10,1.6126693858220058,0.16851152293890642,36.544850498338874
1,3.0,straight,Pure Pursuit,16.856177567001165,2.5,9,1.5702943189413965,0.432853188285169,36.87707641196013
1,3.0,straight,Line of Sight,10.34377055519524,12.5,11,0.44377894217969605,0.40073852031369883,72.42524916943522
1,3.0,straight,Vector Field,43.872537764882786,0.0,8,6.879413574167689,0.3829154058614446,10.299003322259136
1,3.0,straight,Nonlinear Stabilization,47.935441284964064,0.0,9,12.517654385428244,0.3993169966469255,9.966777408637874
1,3.0,straight,Proposed AI,29.787350492573424,89.5,3,23.07747391061415,0.4055036177773427,26.245847176079735
1,3.0,circle,Pure Pursuit,23.75449756424002,42.5,11,4.9346540275968165,0.3808308070536724,24.58471760797342
1,3.0,circle,Line of Sight,36.44804718471935,62.5,9,1.809641609013898,0.41922119696486115,19.93355481727575
1,3.0,circle,Vector Field,24.46651999824496,18.5,14,4.061565575535408,0.3945846772720704,22.92358803986711
1,3.0,circle,Nonlinear Stabilization,25.976290257702512,11.5,15,6.1431069515395285,0.357751512982373,12.29235880398671
1,3.0,circle,Proposed AI,24.696620594255503,2.0,10,3.666764338950652,0.3734426784532401,15.614617940199334
1,3.0,polyline,Pure Pursuit,17.389742332056827,2.5,10,1.1217114839149804,0.42613974414258377,39.8671096345515
1,3.0,polyline,Line of Sight,13.985744639953516,12.5,8,0.20657400251005775,0.38445077460127747,59.800664451827245
1,3.0,polyline,Vector Field,27.964657674592853,59.0,5,24.03492706715321,0.36847277217065477,26.245847176079735
1,3.0,polyline,Nonlinear Stabilization,24.534747555113544,31.5,4,13.98552609804304,0.34298180250725613,18.6046511627907
1,3.0,polyline,Proposed AI,23.261521137802166,34.5,5,19.84761231576663,0.36968283234716687,35.880398671096344
2,0.0,straight,Pure Pursuit,29.9191392812762,44.5,16,4.104661322305413,0.15385067136077613,27.57475083056478
2,0.0,straight,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,0.0,straight,Vector Field,26.070158156818437,16.0,10,4.360590697221204,0.16002596850884554,29.900332225913623
2,0.0,straight,Nonlinear Stabilization,23.80797107074069,13.5,9,5.247555953387749,0.15302498836318607,33.5548172757475
2,0.0,straight,Proposed AI,24.15644671730959,22.0,5,6.639046276952571,0.13367829650076435,33.222591362126245
2,0.0,circle,Pure Pursuit,16.583117591509723,9.0,12,3.7585910554442847,0.16160088525597524,42.857142857142854
2,0.0,circle,Line of Sight,22.631374145187426,2.5,13,5.781121185359691,0.12560757500969125,33.88704318936877
2,0.0,circle,Vector Field,20.202493850226045,17.0,5,8.988566009856235,0.13970456267739728,44.85049833887043
2,0.0,circle,Nonlinear Stabilization,19.14374753617947,15.0,8,7.821519818468552,0.1530765185197132,41.19601328903654
2,0.0,circle,Proposed AI,22.139101231925885,19.0,6,13.052554547871608,0.13981950798739903,34.55149501661129
2,0.0,polyline,Pure Pursuit,13.833836341651583,16.0,7,1.7130450547937883,0.16332366591905798,44.518272425249165
2,0.0,polyline,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,0.0,polyline,Vector Field,21.763020101805203,16.0,8,5.701030018905652,0.1494026207325022,37.87375415282392
2,0.0,polyline,Nonlinear Stabilization,18.538243067101,13.5,6,5.753914736878338,0.15251544972845393,43.521594684385384
2,0.0,polyline,Proposed AI,20.86022815971083,12.5,8,8.735598741125218,0.1524211322450199,35.548172757475086
2,1.5,straight,Pure Pursuit,20.587612119746296,0.5,11,2.7441446097533975,0.20457147306392348,44.85049833887043
2,1.5,straight,Line of Sight,18.993269734583688,26.0,11,1.2092577521131123,0.21284442633085848,48.837209302325576
