seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
1,2.0,circle,Nonlinear Stabilization,18.41561294398673,17.5,8,10.346372893538232,0.14948552425757808,47.50830564784053
1,2.0,circle,Proposed AI,25.749300991880432,19.5,7,20.916387239263848,0.13575968941828653,29.900332225913623
1,2.0,polyline,Pure Pursuit,18.36510195184231,14.0,12,4.405875853704048,0.1598082255370772,42.524916943521596
1,2.0,polyline,Line of Sight,12.374181121797026,13.5,12,2.9044837418120935,0.15891122932399174,51.82724252491694
1,2.0,polyline,Vector Field,20.301498483799918,16.0,6,9.654019253535052,0.15173865093723732,39.202657807308974
1,2.0,polyline,Nonlinear Stabilization,17.544596252457442,13.0,6,8.758229492770473,0.14537950049909923,49.16943521594684
1,2.0,polyline,Proposed AI,21.990631951629258,13.5,9,13.968924036825623,0.1637846125563778,28.57142857142857
1,3.0,straight,Pure Pursuit,19.441396749154244,14.0,15,0.6030799278522085,0.16359973815530626,40.19933554817276
1,3.0,straight,Line of Sight,20.100224216061715,12.0,21,3.493982327579279,0.15420757797750786,43.18936877076412
1,3.0,straight,Vector Field,26.73538868921976,38.5,12,2.5149782514442682,0.1578477625368544,31.22923588039867
1,3.0,straight,Nonlinear Stabilization,27.749272846726463,31.0,11,3.3451267111589402,0.15366043931706808,28.903654485049834
1,3.0,straight,Proposed AI,29.12230675479395,12.0,15,0.8520875835147077,0.15716103058441355,26.578073089701
1,3.0,circle,Pure Pursuit,15.411876401519237,7.0,12,1.391213394206515,0.16369384175086485,47.840531561461795
1,3.0,circle,Line of Sight,19.184778162411515,9.5,10,1.966343240614023,0.15768085649135025,37.87375415282392
1,3.0,circle,Vector Field,22.103071929782786,15.0,10,7.2044320761496365,0.15673462477044675,35.21594684385382
1,3.0,circle,Nonlinear Stabilization,21.16004426415805,15.5,7,17.164650503989115,0.14376545012341707,44.518272425249165
1,3.0,circle,Proposed AI,21.420017529961765,17.0,9,11.628227959482123,0.14931837272001164,33.5548172757475
1,3.0,polyline,Pure Pursuit,17.18885306352143,13.5,20,0.6635419105514657,0.1583078255864322,43.521594684385384
1,3.0,polyline,Line of Sight,13.827779279433642,12.0,17,3.56393935555585,0.15852743963406904,51.162790697674424
1,3.0,polyline,Vector Field,21.34409426171353,16.0,9,3.1167252278491056,0.16211042064190148,34.883720930232556
1,3.0,polyline,Nonlinear Stabilization,15.887696785470313,14.0,11,2.145087357170569,0.15321688928086297,48.17275747508305
1,3.0,polyline,Proposed AI,20.824416663940898,15.5,11,2.125606310787431,0.14739403179032082,44.85049833887043
