seed,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
4,circle,Nonlinear Stabilization,20.758787659273754,19.0,7,3.309929579002863,0.15547176109602232,37.54152823920266
4,circle,Proposed AI,22.468607089878528,12.0,9,10.8122639341335,0.13804610772933995,36.21262458471761
4,polyline,Pure Pursuit,17.448101304006855,12.5,7,2.343334988338161,0.1595616738440501,40.863787375415285
4,polyline,Line of Sight,11.23575040519721,11.5,9,3.0591554676867467,0.15879312858068217,53.48837209302325
4,polyline,Vector Field,26.16710958957505,14.5,10,2.2521799907894167,0.165902070562741,30.89700996677741
4,polyline,Nonlinear Stabilization,17.24196539513538,16.5,6,2.5452552789310987,0.1355064187077028,49.83388704318937
4,polyline,Proposed AI,17.553953537826754,11.5,7,2.3059212769336455,0.1460997899317496,49.501661129568106
5,straight,Pure Pursuit,22.78755391217098,10.0,6,1.0379325748112471,0.15960916834300498,40.53156146179402
5,straight,Line of Sight,14.977851231684166,18.5,6,1.2963453767420798,0.15393050127242372,50.16611295681063
5,straight,Vector Field,33.248717597590215,45.5,8,1.2045051625412349,0.1502817436620997,19.93355481727575
5,straight,Nonlinear Stabilization,25.47795277718306,30.0,12,10.736166958910928,0.14834749899359914,30.23255813953488
5,straight,Proposed AI,22.56853849646269,50.0,5,19.000562962143757,0.1463391947668388,38.87043189368771
5,circle,Pure Pursuit,19.081412130703665,11.0,18,8.58455310857636,0.14880648301425956,38.87043189368771
5,circle,Line of Sight,23.95556357541543,1.5,6,5.36077200038101,0.11977548982479402,31.561461794019934
5,circle,Vector Field,21.306999413552823,16.0,6,2.0634798494813857,0.14709109608988027,36.544850498338874
5,circle,Nonlinear Stabilization,19.70045233773496,15.0,7,3.410547413420759,0.1450490144474236,41.19601328903654
5,circle,Proposed AI,26.393068902004014,20.5,6,20.529115541128377,0.13526931185277416,28.23920265780731
5,polyline,Pure Pursuit,14.14432536968112,10.0,10,1.608491144578318,0.15716335221979807,55.48172757475083
5,polyline,Line of Sight,12.68885690755499,15.5,14,2.7943083727005877,0.1538292846261013,52.823920265780735
5,polyline,Vector Field,21.41243389604303,21.0,9,10.395330639574727,0.15085400984982408,39.202657807308974
5,polyline,Nonlinear Stabilization,18.099424156892645,15.5,5,4.1208711254402655,0.15389628312666093,43.85382059800664
5,polyline,Proposed AI,20.97634457325418,22.5,4,18.422398142296128,0.12273902540473668,46.51162790697674
6,straight,Pure Pursuit,21.578329132098442,17.5,6,2.5127594550806975,0.1534813429193301,38.87043189368771
6,straight,Line of Sight,11.429167808660283,13.5,16,0.8644121245573384,0.15699136247574086,51.82724252491694
6,straight,Vector Field,8.733785672437326,20.5,2,11.404586131767878,0.12590332520947295,77.74086378737542
6,straight,Nonlinear Stabilization,30.01698153055917,19.0,11,6.636268495938252,0.15229448424703568,26.578073089701
6,straight,Proposed AI,31.709746599759058,22.5,7,4.586569849789705,0.14166965402462628,25.91362126245847
6,circle,Pure Pursuit,16.675621964500642,9.0,14,5.2118576815326,0.16014579304346324,42.524916943521596
6,circle,Line of Sight,14.807299801998715,10.0,13,1.0125445846585954,0.16685436621468205,45.51495016611295
6,circle,Vector Field,20.787388011441823,19.0,6,5.309726978843581,0.14569588403235464,42.857142857142854
6,circle,Nonlinear Stabilization,20.67094568697407,19.0,6,7.20537782783485,0.1503735591857559,39.8671096345515
6,circle,Proposed AI,24.62589060017899,21.0,6,18.941980341481763,0.12854280094506734,31.893687707641195
6,polyline,Pure Pursuit,19.723342150149428,15.0,11,3.404513518433312,0.1584488113129582,38.53820598006645
6,polyline,Line of Sight,15.047184408605757,22.5,7,2.380267222242882,0.15707305871128172,49.83388704318937
6,polyline,Vector Field,20.312984737251615,20.5,4,8.10216377655398,0.1409890157213124,42.857142857142854
6,polyline,Nonlinear Stabilization,20.5130881161525,19.0,9,6.637611333755239,0.15889402109527898,37.87375415282392
6,polyline,Proposed AI,18.94738773136612,22.5,13,4.448841324038313,0.1439459566192395,46.179401993355484
7,straight,Pure Pursuit,24.290763179542843,3.5,7,0.9423376490410629,0.15318242317077732,35.548172757475086
7,straight,Line of Sight,14.557132109279506,17.5,14,2.8217252379109237,0.15657054917227042,48.837209302325576
7,straight,Vector Field,18.98649824621449,72.5,3,13.02279166762672,0.12743002798625022,51.82724252491694
7,straight,Nonlinear Stabilization,27.356045588090687,42.5,7,3.4886498330763303,0.1461344866234467,30.89700996677741
7,straight,Proposed AI,34.21996932454412,34.0,8,3.274509381110234,0.14443408323485013,18.6046511627907
7,circle,Pure Pursuit,19.953250817588156,11.0,8,4.647211062574887,0.147218792887526,37.87375415282392
7,circle,Line of Sight,13.869602348802685,9.0,15,2.483099324036149,0.16650509143824052,50.83056478405316
