seed,shape,method,threshold,success
1,circle,Vector Field,8.0,28.903654485049834
1,circle,Vector Field,10.0,35.21594684385382
1,circle,Vector Field,12.0,39.8671096345515
1,circle,Vector Field,15.0,44.85049833887043
1,circle,Vector Field,20.0,52.823920265780735
1,circle,Nonlinear Stabilization,4.0,14.285714285714285
1,circle,Nonlinear Stabilization,6.0,19.93355481727575
1,circle,Nonlinear Stabilization,8.0,27.242524916943523
1,circle,Nonlinear Stabilization,10.0,31.893687707641195
1,circle,Nonlinear Stabilization,12.0,37.87375415282392
1,circle,Nonlinear Stabilization,15.0,43.18936877076412
1,circle,Nonlinear Stabilization,20.0,51.162790697674424
1,circle,Proposed AI,4.0,8.305647840531561
1,circle,Proposed AI,6.0,13.953488372093023
1,circle,Proposed AI,8.0,19.601328903654487
1,circle,Proposed AI,10.0,26.578073089701
1,circle,Proposed AI,12.0,32.22591362126246
1,circle,Proposed AI,15.0,37.54152823920266
1,circle,Proposed AI,20.0,46.84385382059801
1,polyline,Pure Pursuit,4.0,18.272425249169437
1,polyline,Pure Pursuit,6.0,23.588039867109632
1,polyline,Pure Pursuit,8.0,27.57475083056478
1,polyline,Pure Pursuit,10.0,31.893687707641195
1,polyline,Pure Pursuit,12.0,37.2093023255814
1,polyline,Pure Pursuit,15.0,45.182724252491695
1,polyline,Pure Pursuit,20.0,54.81727574750831
1,polyline,Line of Sight,4.0,24.25249169435216
1,polyline,Line of Sight,6.0,30.89700996677741
1,polyline,Line of Sight,8.0,37.87375415282392
1,polyline,Line of Sight,10.0,44.85049833887043
1,polyline,Line of Sight,12.0,50.83056478405316
1,polyline,Line of Sight,15.0,64.45182724252491
1,polyline,Line of Sight,20.0,83.38870431893687
1,polyline,Vector Field,4.0,24.58471760797342
1,polyline,Vector Field,6.0,28.23920265780731
1,polyline,Vector Field,8.0,33.222591362126245
1,polyline,Vector Field,10.0,39.8671096345515
1,polyline,Vector Field,12.0,45.84717607973422
1,polyline,Vector Field,15.0,54.81727574750831
1,polyline,Vector Field,20.0,61.79401993355482
1,polyline,Nonlinear Stabilization,4.0,19.269102990033225
1,polyline,Nonlinear Stabilization,6.0,23.25581395348837
1,polyline,Nonlinear Stabilization,8.0,27.906976744186046
1,polyline,Nonlinear Stabilization,10.0,37.54152823920266
1,polyline,Nonlinear Stabilization,12.0,41.86046511627907
1,polyline,Nonlinear Stabilization,15.0,47.50830564784053
1,polyline,Nonlinear Stabilization,20.0,52.823920265780735
1,polyline,Proposed AI,4.0,26.578073089701
1,polyline,Proposed AI,6.0,30.23255813953488
1,polyline,Proposed AI,8.0,34.883720930232556
1,polyline,Proposed AI,10.0,40.863787375415285
1,polyline,Proposed AI,12.0,45.182724252491695
1,polyline,Proposed AI,15.0,49.501661129568106
1,polyline,Proposed AI,20.0,56.14617940199336
2,straight,Pure Pursuit,4.0,15.614617940199334
2,straight,Pure Pursuit,6.0,18.272425249169437
2,straight,Pure Pursuit,8.0,21.262458471760798
2,straight,Pure Pursuit,10.0,24.25249169435216
2,straight,Pure Pursuit,12.0,27.57475083056478
2,straight,Pure Pursuit,15.0,31.561461794019934
2,straight,Pure Pursuit,20.0,37.54152823920266
2,straight,Line of Sight,4.0,24.58471760797342
2,straight,Line of Sight,6.0,30.564784053156146
2,straight,Line of Sight,8.0,36.87707641196013
2,straight,Line of Sight,10.0,44.518272425249165
2,straight,Line of Sight,12.0,51.162790697674424
2,straight,Line of Sight,15.0,67.77408637873754
2,straight,Line of Sight,20.0,87.70764119601328
2,straight,Vector Field,4.0,15.946843853820598
2,straight,Vector Field,6.0,19.93355481727575
2,straight,Vector Field,8.0,23.588039867109632
2,straight,Vector Field,10.0,27.242524916943523
2,straight,Vector Field,12.0,29.900332225913623
2,straight,Vector Field,15.0,35.21594684385382
2,straight,Vector Field,20.0,41.52823920265781
2,straight,Nonlinear Stabilization,4.0,16.27906976744186
2,straight,Nonlinear Stabilization,6.0,19.601328903654487
2,straight,Nonlinear Stabilization,8.0,24.25249169435216
2,straight,Nonlinear Stabilization,10.0,27.57475083056478
