seed,shape,factor,hidden,mean_dev,mean_energy,success,n_evade,horizon,beta
1,circle,horizon,,24.13045275354025,0.13926224802630682,32.22591362126246,7,4.0,
1,polyline,horizon,,21.065956117741347,0.13700788242111903,45.182724252491695,9,4.0,
1,straight,horizon,,28.28082672394857,0.14745481529765547,25.249169435215947,9,8.0,
1,circle,horizon,,23.953979908689732,0.1354304420374507,31.893687707641195,6,8.0,
1,polyline,horizon,,19.38205624914263,0.12792854759079145,49.501661129568106,6,8.0,
1,straight,beta,,25.37458382973961,0.14322545992958902,33.222591362126245,4,,0.15
1,circle,beta,,26.60866542878515,0.13457353766181074,28.23920265780731,6,,0.15
1,polyline,beta,,22.523763490463264,0.12681998278775256,43.85382059800664,5,,0.15
1,straight,beta,,25.878304194298888,0.1376696496294004,31.22923588039867,5,,0.35
1,circle,beta,,24.13045275354025,0.13926224802630682,32.22591362126246,7,,0.35
1,polyline,beta,,21.065956117741347,0.13700788242111903,45.182724252491695,9,,0.35
1,straight,beta,,25.951518826870306,0.15055134256617658,26.578073089701,7,,0.55
1,circle,beta,,25.830328586240768,0.1386631017418225,31.893687707641195,6,,0.55
1,polyline,beta,,21.518948567857638,0.15071532827489661,36.21262458471761,7,,0.55
2,straight,hidden,8.0,20.274811078565683,0.14546442461081166,39.8671096345515,7,,
2,circle,hidden,8.0,22.96693944090915,0.14642850535987473,32.89036544850498,8,,
2,polyline,hidden,8.0,20.881074957360354,0.12701545621490354,42.524916943521596,5,,
2,straight,hidden,16.0,24.15644671730959,0.13367829650076435,33.222591362126245,5,,
2,circle,hidden,16.0,22.139101231925885,0.13981950798739903,34.55149501661129,6,,
2,polyline,hidden,16.0,20.86022815971083,0.1524211322450199,35.548172757475086,8,,
2,straight,hidden,32.0,27.969011420792796,0.14363545902227157,28.903654485049834,10,,
2,circle,hidden,32.0,23.403707632753687,0.14560526295373538,32.55813953488372,7,,
2,polyline,hidden,32.0,19.406860885320157,0.15486694716803848,40.19933554817276,12,,
2,straight,horizon,,21.970928817315496,0.15696875776441174,31.561461794019934,8,2.0,
2,circle,horizon,,22.67423689641565,0.13914142048829667,30.564784053156146,7,2.0,
2,polyline,horizon,,20.137215976809394,0.14975093250810567,41.19601328903654,12,2.0,
2,straight,horizon,,24.15644671730959,0.13367829650076435,33.222591362126245,5,4.0,
2,circle,horizon,,22.139101231925885,0.13981950798739903,34.55149501661129,6,4.0,
2,polyline,horizon,,20.86022815971083,0.1524211322450199,35.548172757475086,8,4.0,
2,straight,horizon,,30.087730034583014,0.1416328476696069,29.900332225913623,4,8.0,
2,circle,horizon,,23.145569880125905,0.13435592267846616,35.880398671096344,6,8.0,
2,polyline,horizon,,22.09591946422463,0.13293710466265055,40.19933554817276,7,8.0,
2,straight,beta,,24.67897633418378,0.16114100685563218,26.578073089701,7,,0.15
2,circle,beta,,22.12544968221226,0.14644604826815233,34.883720930232556,7,,0.15
2,polyline,beta,,20.932619376455143,0.13132781817043096,43.18936877076412,8,,0.15
2,straight,beta,,24.15644671730959,0.13367829650076435,33.222591362126245,5,,0.35
2,circle,beta,,22.139101231925885,0.13981950798739903,34.55149501661129,6,,0.35
2,polyline,beta,,20.86022815971083,0.1524211322450199,35.548172757475086,8,,0.35
2,straight,beta,,19.459585066692547,0.14361139137041595,43.521594684385384,3,,0.55
2,circle,beta,,25.77799195859558,0.1402592055051937,30.89700996677741,6,,0.55
2,polyline,beta,,17.79495312730727,0.11918585756477712,51.82724252491694,5,,0.55
